"","ID","Advertiser.ID","Media.Plans.Filter...Categories","Campaign.Campaign.Category...Campaign.Category...ID","Campaign.Type","Manager.ID","Management.Percent.Fee","Is.Utm.Enabled","Publish.Period.Start","Budget","Quality.Of.Advertise","Quality.Of.Business","Is.Official","Is.Short.Link.Enabled","Is.Competition.Or.Has.Award"
"1746",8752,24231,"سبک",6,"INFLUENCE",25,10,"True","2021-10-13",0,5,6,"True","True","False"
"1747",8721,8492,"سفر",15,"REACH",47,10,"True","2021-10-10",0,3,3,"True","True","False"
"1777",8613,27009,"مالی",5,"REACH",5,10,"True","2021-10-05",0,6,6,"True","True","False"
"1782",7818,13047,"تکنولوژی",7,"REACH",5,10,"True","2021-09-15",0,7,7,"True","True","False"
"1791",8134,21988,"آموزش",8,"REACH",23,10,"True","2021-09-22",0,6,6,"True","True","False"
"1792",8134,21988,"آموزش",34,"REACH",23,10,"True","2021-09-22",0,6,6,"True","True","False"
"1796",10233,30247,"آرایشی",3,"REACH",57,10,"True","2021-11-22",0,6,7,"True","True","False"
"1800",7591,21589,"آشپزی",12,"INFLUENCE",25,10,"True","2021-09-08",0,5,4,"True","True","False"
"1806",7620,21988,"آموزش",8,"REACH",23,10,"True","2021-09-06",0,6,6,"True","True","False"
"1807",7620,21988,"آموزش",34,"REACH",23,10,"True","2021-09-06",0,6,6,"True","True","False"
"1813",8588,19729,"رستوران",12,"REACH",47,10,"True","2021-10-09",0,7,7,"True","True","False"
"1814",8368,22232,"پوشاک",6,"INFLUENCE",25,10,"True","2021-10-30",0,4,4,"True","True","False"
"1815",8327,25735,"مادر",3,"REACH",23,10,"True","2021-09-27",0,6,6,"True","True","False"
"1818",8370,12573,"مالی",31,"REACH",23,10,"True","2021-09-30",0,6,4,"True","True","False"
"1822",8586,26316,"روان‌شناسی",27,"REACH",16,10,"True","2021-10-09",0,7,7,"True","True","False"
"1824",9007,11801,"طنز",5,"REACH",28,0,"True","2021-10-18",0,5,5,"True","True","False"
"1835",7625,24571,"آموزش",4,"REACH",5,10,"True","2021-09-07",0,6,6,"True","True","False"
"1840",7872,25114,"دانستنی",11,"INFLUENCE",47,10,"True","2021-09-15",0,5,5,"True","True","False"
"1841",9080,28156,"سبک",3,"REACH",54,10,"True","2021-10-20",0,3,2,"True","True","True"
"1855",11406,33230,"سبک",33,"REACH",25,10,"False","2021-12-09",0,5,5,"True","True","False"
"1856",3489,7734,"آموزش",8,"REACH",5,10,"True","2021-02-06",0,8,8,"True","True","False"
"1857",8899,27731,"پوشاک",1,"INFLUENCE",25,10,"True","2021-10-18",0,6,8,"True","True","False"
"1858",9049,27028,"آموزش",8,"REACH",23,10,"True","2021-10-19",0,6,6,"True","True","True"
"1859",9049,27028,"آموزش",34,"REACH",23,10,"True","2021-10-19",0,6,6,"True","True","True"
"1861",8340,23371,"اخبار",9,"REACH",5,10,"True","2021-09-27",0,7,7,"True","True","False"
"1862",8419,26092,"مادر",2,"INFLUENCE",47,10,"True","2021-10-02",0,4,4,"True","True","False"
"1872",9089,26079,"مادر",6,"INFLUENCE",54,10,"True","2021-10-24",0,4,5,"True","True","False"
"1874",8550,23360,"مادر",2,"INFLUENCE",47,10,"True","2021-10-10",0,4,4,"True","True","False"
"1891",8959,17828,"رستوران",15,"REACH",54,10,"False","2021-10-19",0,5,4,"True","True","True"
"1892",8959,17828,"رستوران",3,"REACH",54,10,"False","2021-10-19",0,5,4,"True","True","True"
"1906",9164,9543,"آموزش",27,"REACH",16,10,"True","2021-10-24",0,7,7,"True","True","False"
"1907",8596,23210,"مادر",15,"REACH",23,10,"True","2021-10-12",0,6,6,"True","True","False"
"1908",10873,32565,"پوشاک",6,"INFLUENCE",47,10,"False","2021-12-07",0,4,4,"True","True","True"
"1920",18063,52291,"یادگیری",5,"REACH",95,10,"True","2022-04-08",0,6,4,"True","True","False"
"1934",16150,53852,"مالی",25,"REACH",67,10,"True","2022-02-24",0,4,4,"True","True","False"
"1943",16791,52062,"ساخت",25,"REACH",96,10,"True","2022-03-07",0,6,7,"True","True","False"
"1960",10801,28707,"عکاسی",31,"REACH",25,10,"False","2021-12-05",0,6,5,"True","True","False"
"1966",12544,4128,"ورزشی",20,"REACH",74,0,"True","2021-12-28",0,4,5,"True","True","False"
"1967",11998,39572,"مالی",19,"REACH",67,10,"True","2021-12-19",0,4,4,"True","True","False"
"1974",10280,25803,"پزشکی",15,"REACH",63,10,"True","2021-11-23",0,6,6,"True","True","False"
"1977",10663,13907,"سینما",6,"REACH",67,10,"True","2021-11-29",0,6,6,"True","True","False"
"1980",9352,28149,"پوشاک",1,"INFLUENCE",54,10,"True","2021-11-03",0,4,2,"True","True","False"
"1981",9361,26287,"رستوران",12,"INFLUENCE",25,10,"True","2021-11-13",0,6,4,"True","True","True"
"1996",16697,48171,"طنز",25,"REACH",47,10,"True","2022-03-06",0,7,7,"True","True","False"
"1998",8824,9758,"سبک",3,"INFLUENCE",25,10,"True","2021-10-16",0,4,3,"True","True","False"
"1999",10241,25821,"اقتصادی",8,"REACH",63,10,"True","2021-11-22",0,6,6,"True","True","False"
"2000",10241,25821,"اقتصادی",5,"REACH",63,10,"True","2021-11-22",0,6,6,"True","True","False"
"2001",8006,21885,"مادر",15,"INFLUENCE",25,10,"True","2021-09-21",0,4,5,"True","True","False"
"2002",8006,21885,"مادر",3,"INFLUENCE",25,10,"True","2021-09-21",0,4,5,"True","True","False"
"2003",10996,17265,"آشپزی",12,"INFLUENCE",54,10,"False","2021-12-11",0,3,4,"True","True","False"
"2009",9964,27459,"زبان",26,"REACH",47,10,"True","2021-11-16",0,5,5,"True","True","False"
"2012",9580,24603,"طراحی",16,"REACH",25,10,"True","2021-11-07",0,5,5,"True","True","False"
"2013",14851,39748,"یادگیری",8,"REACH",59,10,"True","2022-02-05",0,6,5,"True","True","False"
"2032",9231,28515,"آموزش",6,"REACH",25,10,"True","2021-10-26",0,6,3,"True","True","False"
"2099",8606,14581,"سبک",5,"INFLUENCE",47,10,"True","2021-10-08",0,5,5,"True","True","False"
"2102",10171,27812,"روان‌شناسی",27,"REACH",63,10,"True","2021-11-21",0,5,5,"True","True","False"
"2109",8415,8684,"مادر",3,"REACH",25,10,"True","2021-10-04",0,5,5,"True","True","False"
"2135",9304,27649,"سبک",3,"REACH",54,10,"True","2021-10-30",0,5,6,"True","True","False"
"2136",9304,27649,"سبک",15,"REACH",54,10,"True","2021-10-30",0,5,6,"True","True","False"
"2146",10933,3757,"ساخت",28,"REACH",67,10,"False","2021-12-05",0,4,6,"True","True","False"
