"","ID","Advertiser.ID","Media.Plans.Filter...Categories","Campaign.Campaign.Category...Campaign.Category...ID","Campaign.Type","Manager.ID","Management.Percent.Fee","Is.Utm.Enabled","Publish.Period.Start","Budget","Quality.Of.Advertise","Quality.Of.Business","Is.Official","Is.Short.Link.Enabled","Is.Competition.Or.Has.Award"
"1079",10497,30813,"Family",2,"REACH",47,10,"True","2021-11-27",0,5,5,"True","True","False"
"1081",6345,13755,"Education",5,"INFLUENCE",20,10,"True","2021-07-24",0,5,6,"True","True","False"
"1082",6326,22014,"fashion",3,"INFLUENCE",25,10,"True","2021-07-20",0,5,5,"True","True","False"
"1083",8062,18976,"the cinema",10,"REACH",23,10,"True","2021-09-22",0,5,6,"True","True","False"
"1084",6344,22215,"Family",15,"REACH",25,10,"True","2021-07-20",0,3,3,"True","True","False"
"1100",6293,21749,"Family",3,"REACH",25,10,"True","2021-07-18",0,4,4,"True","True","False"
"1105",6458,22550,"fashion",3,"REACH",28,10,"True","2021-07-25",0,4,6,"True","True","False"
"1107",7452,12584,"comedy",8,"REACH",5,10,"True","2021-09-07",0,5,5,"True","True","False"
"1109",6250,22126,"Education",5,"INFLUENCE",25,10,"True","2021-07-17",0,5,5,"True","True","False"
"1110",6248,20618,"cooking",12,"INFLUENCE",25,10,"True","2021-07-27",0,5,5,"True","True","False"
"1122",6637,11694,"Education",19,"REACH",23,10,"True","2021-08-01",0,7,7,"True","True","False"
"1129",7449,10859,"Financial",19,"REACH",16,10,"True","2021-09-01",0,7,7,"True","True","False"
"1130",7449,10859,"Financial",11,"REACH",16,10,"True","2021-09-01",0,7,7,"True","True","False"
"1132",8433,21553,"Mother",12,"INFLUENCE",25,10,"True","2021-10-09",0,5,7,"True","True","False"
"1136",6653,22965,"fashion",6,"INFLUENCE",20,10,"True","2021-08-01",0,6,6,"True","True","False"
"1140",6730,18138,"Photography",7,"INFLUENCE",25,10,"True","2021-08-04",0,5,5,"True","True","False"
"1142",7263,23104,"entertainment",22,"INFLUENCE",47,10,"True","2021-08-25",0,7,7,"True","True","False"
"1148",7966,19428,"Mother",15,"INFLUENCE",47,10,"True","2021-09-19",0,6,6,"True","True","False"
"1151",6502,18976,"comedy",1,"REACH",23,10,"True","2021-07-28",0,6,6,"True","True","False"
"1161",6358,22215,"Family",2,"REACH",25,10,"True","2021-07-20",0,4,4,"True","True","False"
"1165",7160,12810,"fashion",34,"REACH",25,10,"True","2021-08-21",0,5,4,"True","True","False"
"1166",7160,12810,"fashion",5,"REACH",25,10,"True","2021-08-21",0,5,4,"True","True","False"
"1171",8868,12633,"clothing",3,"INFLUENCE",25,10,"True","2021-10-16",0,3,4,"True","True","False"
"1172",8868,12633,"clothing",6,"INFLUENCE",25,10,"True","2021-10-16",0,3,4,"True","True","False"
"1181",7191,14858,"fashion",15,"REACH",47,10,"True","2021-08-23",0,6,5,"True","True","False"
"1182",7191,14858,"fashion",3,"REACH",47,10,"True","2021-08-23",0,6,5,"True","True","False"
"1185",7200,23658,"Financial",19,"REACH",16,10,"True","2021-08-23",0,0,5,"True","True","False"
"1187",7163,23835,"fashion",6,"REACH",20,10,"True","2021-08-20",0,5,5,"True","True","False"
"1190",7196,24098,"comedy",24,"REACH",16,10,"True","2021-08-23",0,5,5,"True","True","True"
"1191",7196,24098,"comedy",9,"REACH",16,10,"True","2021-08-23",0,5,5,"True","True","True"
"1192",7164,23974,"Education",27,"INFLUENCE",25,10,"True","2021-08-20",0,4,4,"True","True","False"
"1193",7164,23974,"Education",5,"INFLUENCE",25,10,"True","2021-08-20",0,4,4,"True","True","False"
"1194",6306,16521,"Financial",19,"REACH",28,10,"True","2021-07-19",0,7,6,"True","True","False"
"1198",6374,13796,"Family",35,"REACH",25,10,"True","2021-07-20",0,4,4,"True","True","False"
"1199",6374,13796,"Family",3,"REACH",25,10,"True","2021-07-20",0,4,4,"True","True","False"
"1201",6718,23117,"Education",34,"INFLUENCE",25,10,"True","2021-08-03",0,4,5,"True","True","False"
"1202",6718,23117,"Education",5,"INFLUENCE",25,10,"True","2021-08-03",0,4,5,"True","True","False"
"1203",5626,16418,"Technology",7,"INFLUENCE",20,10,"True","2021-07-19",0,6,6,"True","True","True"
"1204",6373,22418,"Technology",10,"INFLUENCE",25,10,"True","2021-07-20",0,3,6,"True","True","False"
"1205",6373,22418,"Technology",7,"INFLUENCE",25,10,"True","2021-07-20",0,3,6,"True","True","False"
"1211",7723,15582,"style",31,"INFLUENCE",25,10,"False","2021-09-12",0,5,5,"True","True","False"
"1212",7723,15582,"style",35,"INFLUENCE",25,10,"False","2021-09-12",0,5,5,"True","True","False"
"1213",7723,15582,"style",3,"INFLUENCE",25,10,"False","2021-09-12",0,5,5,"True","True","False"
"1221",7394,11300,"Home",13,"INFLUENCE",47,10,"True","2021-09-02",0,7,8,"True","True","False"
"1223",6382,11520,"Education",34,"INFLUENCE",25,10,"True","2021-07-21",0,4,6,"True","True","False"
"1239",6790,1907,"Education",9,"REACH",16,10,"True","2021-08-07",0,8,7,"True","True","True"
"1242",7450,10859,"Education",19,"REACH",16,10,"True","2021-09-01",0,6,7,"True","True","False"
"1243",7450,10859,"Education",11,"REACH",16,10,"True","2021-09-01",0,6,7,"True","True","False"
"1253",7168,21949,"Education",34,"INFLUENCE",25,10,"True","2021-08-21",0,6,6,"True","True","False"
"1254",7168,21949,"Education",5,"INFLUENCE",25,10,"True","2021-08-21",0,6,6,"True","True","False"
"1262",6890,1991,"psychology",31,"REACH",5,10,"True","2021-08-12",0,7,7,"True","True","False"
"1275",8438,21892,"Mother",3,"INFLUENCE",47,10,"True","2021-10-09",0,6,5,"True","True","False"
"1277",5211,15463,"fashion",3,"INFLUENCE",16,10,"True","2021-06-02",0,4,6,"True","True","False"
"1280",6679,23039,"Sport",20,"REACH",25,10,"True","2021-08-02",0,5,6,"True","True","False"
"1281",6679,23039,"Sport",16,"REACH",25,10,"True","2021-08-02",0,5,6,"True","True","False"
"1292",7519,24382,"cooking",16,"INFLUENCE",25,10,"True","2021-09-04",0,4,4,"True","True","False"
"1293",7519,24382,"cooking",1,"INFLUENCE",25,10,"True","2021-09-04",0,4,4,"True","True","False"
"1300",7000,7488,"Technology",7,"REACH",5,10,"True","2021-08-13",0,5,6,"True","True","False"
"1303",6794,23266,"fashion",3,"REACH",28,10,"True","2021-08-06",0,4,5,"True","True","False"
"1305",8440,26621,"learning",10,"REACH",47,10,"True","2021-10-03",0,4,4,"True","True","False"
"1306",8880,25569,"Mother",27,"REACH",47,10,"True","2021-10-14",0,4,4,"True","True","False"
"1307",8880,25569,"Mother",15,"REACH",47,10,"True","2021-10-14",0,4,4,"True","True","False"
"1315",8080,4818,"style",3,"REACH",25,10,"True","2021-09-26",0,3,4,"True","True","False"
"1324",6613,22030,"cooking",12,"INFLUENCE",25,10,"True","2021-08-07",0,3,4,"True","True","False"
"1333",6089,21911,"fashion",3,"REACH",25,10,"True","2021-07-14",0,7,5,"True","True","False"
"1340",17257,52407,"Play",8,"INFLUENCE",54,10,"True","2022-03-16",0,4,3,"True","True","False"
"1341",9070,6251,"Education",9,"INFLUENCE",25,10,"True","2021-10-23",0,5,5,"True","True","False"
"1342",9070,6251,"Education",5,"INFLUENCE",25,10,"True","2021-10-23",0,5,5,"True","True","False"
"1345",6705,22414,"Family",16,"REACH",25,10,"True","2021-08-03",0,6,5,"True","True","False"
"1355",8352,3341,"Education",27,"REACH",16,10,"True","2021-10-09",0,4,3,"True","True","False"
"1356",6934,22203,"Language",9,"REACH",16,10,"True","2021-08-11",0,7,6,"True","True","False"
"1357",6934,22203,"Language",4,"REACH",16,10,"True","2021-08-11",0,7,6,"True","True","False"
"1367",7248,12810,"comedy",5,"INFLUENCE",47,10,"True","2021-08-24",0,4,4,"True","True","False"
"1371",7357,23266,"Nutrition",3,"REACH",23,10,"False","2021-08-29",0,6,6,"True","True","False"
"1377",7847,24681,"News",31,"REACH",23,10,"True","2021-09-15",0,6,6,"True","True","False"
"1378",7847,24681,"News",14,"REACH",23,10,"True","2021-09-15",0,6,6,"True","True","False"
"1379",6528,21553,"cooking",12,"INFLUENCE",20,10,"True","2021-07-29",0,6,7,"True","True","False"
"1383",7308,3606,"psychology",27,"REACH",16,10,"True","2021-08-26",0,5,4,"True","True","False"
"1395",7083,21996,"Sport",6,"REACH",16,10,"True","2021-08-22",0,5,5,"True","True","False"
"1396",8308,21812,"Book",31,"REACH",23,10,"True","2021-09-26",0,6,6,"True","True","True"
"1397",8308,21812,"Book",2,"REACH",23,10,"True","2021-09-26",0,6,6,"True","True","True"
"1402",7470,23757,"Family",6,"REACH",23,10,"True","2021-09-02",0,7,6,"True","True","False"
"1409",6968,22607,"fashion",31,"REACH",23,10,"True","2021-08-12",0,6,7,"True","True","False"
