name,type,color,_igraph_index,id
a_82265,FALSE,red,4610,4610
a_82289,FALSE,red,4611,4611
a_82302,FALSE,red,4612,4612
a_82310,FALSE,red,4613,4613
a_82330,FALSE,red,4614,4614
a_82334,FALSE,red,4615,4615
a_82357,FALSE,red,4616,4616
a_82375,FALSE,red,4617,4617
a_82380,FALSE,red,4618,4618
a_82405,FALSE,red,4619,4619
a_82406,FALSE,red,4620,4620
a_8241,FALSE,red,4621,4621
a_82433,FALSE,red,4622,4622
a_82436,FALSE,red,4623,4623
a_8246,FALSE,red,4624,4624
a_82498,FALSE,red,4625,4625
a_82521,FALSE,red,4626,4626
a_82537,FALSE,red,4627,4627
a_82563,FALSE,red,4628,4628
a_82573,FALSE,red,4629,4629
a_82602,FALSE,red,4630,4630
a_82637,FALSE,red,4631,4631
a_82681,FALSE,red,4632,4632
a_82822,FALSE,red,4633,4633
a_82838,FALSE,red,4634,4634
a_82840,FALSE,red,4635,4635
a_8286,FALSE,red,4636,4636
a_82871,FALSE,red,4637,4637
a_82882,FALSE,red,4638,4638
a_82886,FALSE,red,4639,4639
a_8290,FALSE,red,4640,4640
a_82902,FALSE,red,4641,4641
a_82918,FALSE,red,4642,4642
a_82925,FALSE,red,4643,4643
a_82927,FALSE,red,4644,4644
a_82942,FALSE,red,4645,4645
a_82963,FALSE,red,4646,4646
a_82977,FALSE,red,4647,4647
a_83001,FALSE,red,4648,4648
a_8303,FALSE,red,4649,4649
a_83106,FALSE,red,4650,4650
a_83118,FALSE,red,4651,4651
a_83161,FALSE,red,4652,4652
a_8323,FALSE,red,4653,4653
a_83233,FALSE,red,4654,4654
a_8324,FALSE,red,4655,4655
a_8330,FALSE,red,4656,4656
a_83305,FALSE,red,4657,4657
a_83308,FALSE,red,4658,4658
a_83310,FALSE,red,4659,4659
a_8332,FALSE,red,4660,4660
a_83325,FALSE,red,4661,4661
a_8333,FALSE,red,4662,4662
a_83340,FALSE,red,4663,4663
a_83343,FALSE,red,4664,4664
a_83374,FALSE,red,4665,4665
a_83396,FALSE,red,4666,4666
a_83411,FALSE,red,4667,4667
a_83430,FALSE,red,4668,4668
a_8345,FALSE,red,4669,4669
a_83453,FALSE,red,4670,4670
a_83458,FALSE,red,4671,4671
a_83516,FALSE,red,4672,4672
a_83518,FALSE,red,4673,4673
a_83519,FALSE,red,4674,4674
a_83532,FALSE,red,4675,4675
a_83590,FALSE,red,4676,4676
a_83645,FALSE,red,4677,4677
a_83664,FALSE,red,4678,4678
a_8367,FALSE,red,4679,4679
a_83671,FALSE,red,4680,4680
a_8369,FALSE,red,4681,4681
a_83691,FALSE,red,4682,4682
a_83696,FALSE,red,4683,4683
a_83715,FALSE,red,4684,4684
a_83717,FALSE,red,4685,4685
a_83729,FALSE,red,4686,4686
a_83732,FALSE,red,4687,4687
a_83753,FALSE,red,4688,4688
a_83761,FALSE,red,4689,4689
a_83788,FALSE,red,4690,4690
a_83842,FALSE,red,4691,4691
a_83862,FALSE,red,4692,4692
a_83863,FALSE,red,4693,4693
a_83864,FALSE,red,4694,4694
a_83874,FALSE,red,4695,4695
a_83879,FALSE,red,4696,4696
a_83920,FALSE,red,4697,4697
a_83933,FALSE,red,4698,4698
a_83935,FALSE,red,4699,4699
a_8395,FALSE,red,4700,4700
a_83969,FALSE,red,4701,4701
a_83972,FALSE,red,4702,4702
a_84042,FALSE,red,4703,4703
a_84086,FALSE,red,4704,4704
a_84099,FALSE,red,4705,4705
a_84149,FALSE,red,4706,4706
a_84169,FALSE,red,4707,4707
a_84187,FALSE,red,4708,4708
a_84199,FALSE,red,4709,4709
a_84234,FALSE,red,4710,4710
a_84240,FALSE,red,4711,4711
a_84250,FALSE,red,4712,4712
a_84254,FALSE,red,4713,4713
a_84259,FALSE,red,4714,4714
a_84328,FALSE,red,4715,4715
a_84366,FALSE,red,4716,4716
a_8437,FALSE,red,4717,4717
a_84429,FALSE,red,4718,4718
a_8444,FALSE,red,4719,4719
a_84440,FALSE,red,4720,4720
a_84468,FALSE,red,4721,4721
a_84474,FALSE,red,4722,4722
a_84509,FALSE,red,4723,4723
a_84515,FALSE,red,4724,4724
a_84534,FALSE,red,4725,4725
a_84540,FALSE,red,4726,4726
a_84573,FALSE,red,4727,4727
a_84584,FALSE,red,4728,4728
a_84590,FALSE,red,4729,4729
a_84663,FALSE,red,4730,4730
a_84683,FALSE,red,4731,4731
a_84692,FALSE,red,4732,4732
a_84706,FALSE,red,4733,4733
a_8477,FALSE,red,4734,4734
a_8478,FALSE,red,4735,4735
a_8479,FALSE,red,4736,4736
a_84802,FALSE,red,4737,4737
a_84821,FALSE,red,4738,4738
a_84826,FALSE,red,4739,4739
a_84828,FALSE,red,4740,4740
a_84847,FALSE,red,4741,4741
a_8487,FALSE,red,4742,4742
a_84870,FALSE,red,4743,4743
a_84903,FALSE,red,4744,4744
a_8492,FALSE,red,4745,4745
a_84964,FALSE,red,4746,4746
a_85015,FALSE,red,4747,4747
a_85034,FALSE,red,4748,4748
a_85035,FALSE,red,4749,4749
a_85071,FALSE,red,4750,4750
a_85099,FALSE,red,4751,4751
a_85106,FALSE,red,4752,4752
a_85116,FALSE,red,4753,4753
a_85125,FALSE,red,4754,4754
a_85127,FALSE,red,4755,4755
a_85130,FALSE,red,4756,4756
a_85144,FALSE,red,4757,4757
a_85147,FALSE,red,4758,4758
a_85160,FALSE,red,4759,4759
a_85223,FALSE,red,4760,4760
a_85228,FALSE,red,4761,4761
a_85270,FALSE,red,4762,4762
a_85271,FALSE,red,4763,4763
a_85275,FALSE,red,4764,4764
a_85292,FALSE,red,4765,4765
a_85307,FALSE,red,4766,4766
a_85319,FALSE,red,4767,4767
a_85407,FALSE,red,4768,4768
a_85417,FALSE,red,4769,4769
a_85427,FALSE,red,4770,4770
a_85450,FALSE,red,4771,4771
a_85454,FALSE,red,4772,4772
a_85460,FALSE,red,4773,4773
a_8549,FALSE,red,4774,4774
a_85505,FALSE,red,4775,4775
a_85511,FALSE,red,4776,4776
a_85573,FALSE,red,4777,4777
a_85587,FALSE,red,4778,4778
a_85591,FALSE,red,4779,4779
a_85597,FALSE,red,4780,4780
a_85600,FALSE,red,4781,4781
a_85608,FALSE,red,4782,4782
a_85646,FALSE,red,4783,4783
a_85651,FALSE,red,4784,4784
a_85664,FALSE,red,4785,4785
a_85679,FALSE,red,4786,4786
a_85689,FALSE,red,4787,4787
a_85712,FALSE,red,4788,4788
a_85724,FALSE,red,4789,4789
a_8575,FALSE,red,4790,4790
a_85751,FALSE,red,4791,4791
a_85763,FALSE,red,4792,4792
a_85770,FALSE,red,4793,4793
a_85772,FALSE,red,4794,4794
a_85777,FALSE,red,4795,4795
a_85778,FALSE,red,4796,4796
a_85792,FALSE,red,4797,4797
a_85830,FALSE,red,4798,4798
a_85838,FALSE,red,4799,4799
a_85885,FALSE,red,4800,4800
a_85887,FALSE,red,4801,4801
a_85915,FALSE,red,4802,4802
a_8593,FALSE,red,4803,4803
a_85932,FALSE,red,4804,4804
a_85940,FALSE,red,4805,4805
a_85941,FALSE,red,4806,4806
a_85949,FALSE,red,4807,4807
a_85952,FALSE,red,4808,4808
a_85955,FALSE,red,4809,4809
a_85960,FALSE,red,4810,4810
a_85962,FALSE,red,4811,4811
a_85970,FALSE,red,4812,4812
a_8598,FALSE,red,4813,4813
a_85986,FALSE,red,4814,4814
a_86000,FALSE,red,4815,4815
a_8602,FALSE,red,4816,4816
a_86023,FALSE,red,4817,4817
a_8603,FALSE,red,4818,4818
a_86065,FALSE,red,4819,4819
a_86070,FALSE,red,4820,4820
a_86081,FALSE,red,4821,4821
a_86091,FALSE,red,4822,4822
a_86119,FALSE,red,4823,4823
a_86149,FALSE,red,4824,4824
a_86152,FALSE,red,4825,4825
a_86160,FALSE,red,4826,4826
a_86176,FALSE,red,4827,4827
a_86194,FALSE,red,4828,4828
a_86215,FALSE,red,4829,4829
a_86217,FALSE,red,4830,4830
a_86223,FALSE,red,4831,4831
a_86239,FALSE,red,4832,4832
a_86248,FALSE,red,4833,4833
a_86256,FALSE,red,4834,4834
a_8626,FALSE,red,4835,4835
a_86266,FALSE,red,4836,4836
a_86271,FALSE,red,4837,4837
